journal_id,journal_name,journal_name_normalized,title_variants,publisher,wos_core,is_wos_core,is_scopus,norwegian_level,norwegian_level_numeric,alphabet_block,include_in_monitor,openalex_source_id,issn_l,issn_print,issn_online,source_resolution_status,source_confidence,openalex_source_search_hint,notes,verification_source_urls
aids-patient-care-and-stds,AIDS Patient Care and STDs,aids patient care and stds,AIDS Patient Care and STDs,Mary Ann Liebert,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=AIDS%20Patient%20Care%20and%20STDs&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
aims-journal,AIMS Journal,aims journal,AIMS Journal,Association for Improvements in Maternity Services,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=AIMS%20Journal&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
aims-public-health,AIMS Public Health,aims public health,AIMS Public Health,American Institute of Mathematical Sciences,ESCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=AIMS%20Public%20Health&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
ajog-global-reports,AJOG Global Reports,ajog global reports,AJOG Global Reports,Elsevier,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=AJOG%20Global%20Reports&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
american-journal-of-critical-care,American Journal of Critical Care,american journal of critical care,American Journal of Critical Care,American Association of Critical-Care Nurses,SCIE,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=American%20Journal%20of%20Critical%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
american-journal-of-nursing,American Journal of Nursing,american journal of nursing,American Journal of Nursing,"Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=American%20Journal%20of%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
anna-nery-school-journal-of-nursing,Anna Nery School Journal of Nursing,anna nery school journal of nursing,Anna Nery School Journal of Nursing,Universidade Federal do Rio de Janeiro,,false,false,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Anna%20Nery%20School%20Journal%20of%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
annals-of-nursing-and-practice,Annals of Nursing and Practice,annals of nursing and practice,Annals of Nursing and Practice,JSciMed Central,,false,false,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Annals%20of%20Nursing%20and%20Practice&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
aorn-journal,AORN Journal,aorn journal,AORN Journal,Wiley,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=AORN%20Journal&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
applied-nursing-research,Applied Nursing Research,applied nursing research,Applied Nursing Research,"Elsevier, W.B. Saunders",SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Applied%20Nursing%20Research&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
aquichan,Aquichan,aquichan,Aquichan,Universidad de La Sabana,ESCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Aquichan&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
archives-of-psychiatric-nursing,Archives of Psychiatric Nursing,archives of psychiatric nursing,Archives of Psychiatric Nursing,"Elsevier, W.B. Saunders",SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Archives%20of%20Psychiatric%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
asia-pacific-journal-of-oncology-nursing,Asia-Pacific Journal of Oncology Nursing,asia pacific journal of oncology nursing,Asia-Pacific Journal of Oncology Nursing,Asian Oncology Nursing Society / Elsevier,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Asia-Pacific%20Journal%20of%20Oncology%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
asian-nursing-research,Asian Nursing Research,asian nursing research,Asian Nursing Research,Korean Society of Nursing Science,SCIE; SSCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=Asian%20Nursing%20Research&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
asian-pacific-island-nursing-journal,Asian/Pacific Island Nursing Journal,asian pacific island nursing journal,Asian/Pacific Island Nursing Journal,JMIR Publications,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=Asian/Pacific%20Island%20Nursing%20Journal&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
assistenza-infermieristica-e-ricerca,Assistenza Infermieristica e Ricerca,assistenza infermieristica e ricerca,Assistenza Infermieristica e Ricerca,Il Pensiero Scientifico Editore,SCIE; SSCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=Assistenza%20Infermieristica%20e%20Ricerca&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
australasian-emergency-care,Australasian Emergency Care,australasian emergency care,Australasian Emergency Care,Elsevier,SCIE; SSCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=Australasian%20Emergency%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
australian-critical-care,Australian Critical Care,australian critical care,Australian Critical Care,Elsevier,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Australian%20Critical%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
australian-journal-of-advanced-nursing,Australian Journal of Advanced Nursing,australian journal of advanced nursing,Australian Journal of Advanced Nursing,Australian Nursing and Midwifery Federation,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Australian%20Journal%20of%20Advanced%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
avicenna-journal-of-nursing-and-midwifery-care,Avicenna Journal of Nursing and Midwifery Care,avicenna journal of nursing and midwifery care,Avicenna Journal of Nursing and Midwifery Care,Hamadan University of Medical Sciences,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=Avicenna%20Journal%20of%20Nursing%20and%20Midwifery%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
belitung-nursing-journal,Belitung Nursing Journal,belitung nursing journal,Belitung Nursing Journal,Belitung Raya Foundation,ESCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Belitung%20Nursing%20Journal&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
biological-research-for-nursing,Biological Research for Nursing,biological research for nursing,Biological Research for Nursing,SAGE,SCIE,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Biological%20Research%20for%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
birth-issues-in-perinatal-care,Birth: Issues in Perinatal Care,birth issues in perinatal care,Birth: Issues in Perinatal Care,Wiley,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Birth%3A%20Issues%20in%20Perinatal%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
bmc-nursing,BMC Nursing,bmc nursing,BMC Nursing,BMC / Springer Nature,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=BMC%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
bmc-palliative-care,BMC Palliative Care,bmc palliative care,BMC Palliative Care,BMC / Springer Nature,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=BMC%20Palliative%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
bmj-supportive-and-palliative-care,BMJ Supportive & Palliative Care,bmj supportive and palliative care,BMJ Supportive & Palliative Care,BMJ Publishing Group,SCIE,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=BMJ%20Supportive%20%26%20Palliative%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
breastfeeding-medicine,Breastfeeding Medicine,breastfeeding medicine,Breastfeeding Medicine,Mary Ann Liebert / SAGE,SCIE,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Breastfeeding%20Medicine&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
breastfeeding-review,Breastfeeding Review,breastfeeding review,Breastfeeding Review,Australian Breastfeeding Association,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=Breastfeeding%20Review&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
british-journal-of-child-health,British Journal of Child Health,british journal of child health,British Journal of Child Health,MA Healthcare,,false,false,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=British%20Journal%20of%20Child%20Health&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
british-journal-of-community-nursing,British Journal of Community Nursing,british journal of community nursing,British Journal of Community Nursing,MA Healthcare,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=British%20Journal%20of%20Community%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
british-journal-of-healthcare-management,British Journal of Healthcare Management,british journal of healthcare management,British Journal of Healthcare Management,MA Healthcare,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=British%20Journal%20of%20Healthcare%20Management&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
british-journal-of-mental-health-nursing,British Journal of Mental Health Nursing,british journal of mental health nursing,British Journal of Mental Health Nursing,MA Healthcare,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=British%20Journal%20of%20Mental%20Health%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
british-journal-of-midwifery,British Journal of Midwifery,british journal of midwifery,British Journal of Midwifery,MA Healthcare,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=British%20Journal%20of%20Midwifery&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
british-journal-of-nursing,British Journal of Nursing,british journal of nursing,British Journal of Nursing,MA Healthcare,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=British%20Journal%20of%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
british-journal-of-school-nursing,British Journal of School Nursing,british journal of school nursing,British Journal of School Nursing,MA Healthcare,,false,false,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=British%20Journal%20of%20School%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
canadian-journal-of-infection-control,Canadian Journal of Infection Control,canadian journal of infection control,Canadian Journal of Infection Control,Infection Prevention and Control Canada,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Canadian%20Journal%20of%20Infection%20Control&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
canadian-journal-of-nursing-research,Canadian Journal of Nursing Research,canadian journal of nursing research,Canadian Journal of Nursing Research,SAGE,ESCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Canadian%20Journal%20of%20Nursing%20Research&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
cancer-nursing,Cancer Nursing,cancer nursing,Cancer Nursing,"Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,Nivå 2,2,A-C,true,,,,,unresolved,,/sources?search=Cancer%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
central-european-journal-of-nursing-and-midwifery,Central European Journal of Nursing and Midwifery,central european journal of nursing and midwifery,Central European Journal of Nursing and Midwifery,University of Ostrava,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Central%20European%20Journal%20of%20Nursing%20and%20Midwifery&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
child-health-nursing-research,Child Health Nursing Research,child health nursing research,Child Health Nursing Research,Korean Academy of Child Health Nursing,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=Child%20Health%20Nursing%20Research&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
chinese-journal-of-nursing,Chinese Journal of Nursing,chinese journal of nursing,Chinese Journal of Nursing,Chinese Nursing Journals Publishing House,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=Chinese%20Journal%20of%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
chinese-journal-of-nursing-education,Chinese Journal of Nursing Education,chinese journal of nursing education,Chinese Journal of Nursing Education,Chinese Nursing Journals Publishing House,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=Chinese%20Journal%20of%20Nursing%20Education&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
chinese-journal-of-practical-nursing,Chinese Journal of Practical Nursing,chinese journal of practical nursing,Chinese Journal of Practical Nursing,Chinese Medical Journals Publishing House,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=Chinese%20Journal%20of%20Practical%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
ciencia-y-enfermeria,Ciencia y Enfermería,ciencia y enfermeria,Ciencia y Enfermería,Universidad de Concepción,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Ciencia%20y%20Enfermer%C3%ADa&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
cin-computers-informatics-nursing,"CIN: Computers, Informatics, Nursing",cin computers informatics nursing,"CIN: Computers, Informatics, Nursing | CIN: Computers | Informatics, Nursing | Informatics | Nursing | Computers, Informatics, Nursing | CIN","Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=CIN%3A%20Computers%2C%20Informatics%2C%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
clinical-journal-of-oncology-nursing,Clinical Journal of Oncology Nursing,clinical journal of oncology nursing,Clinical Journal of Oncology Nursing,Oncology Nursing Society,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Clinical%20Journal%20of%20Oncology%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
clinical-nurse-specialist,Clinical Nurse Specialist,clinical nurse specialist,Clinical Nurse Specialist,"Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=Clinical%20Nurse%20Specialist&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
clinical-nursing-research,Clinical Nursing Research,clinical nursing research,Clinical Nursing Research,SAGE,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Clinical%20Nursing%20Research&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
clinical-simulation-in-nursing,Clinical Simulation in Nursing,clinical simulation in nursing,Clinical Simulation in Nursing,Elsevier,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Clinical%20Simulation%20in%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
cogitare-enfermagem,Cogitare Enfermagem,cogitare enfermagem,Cogitare Enfermagem,Universidade Federal do Paraná,ESCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=Cogitare%20Enfermagem&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
collegian,Collegian,collegian,Collegian,Elsevier,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Collegian&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
comprehensive-child-and-adolescent-nursing,Comprehensive Child and Adolescent Nursing,comprehensive child and adolescent nursing,Comprehensive Child and Adolescent Nursing,Taylor & Francis,ESCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Comprehensive%20Child%20and%20Adolescent%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
contemporary-nurse,Contemporary Nurse,contemporary nurse,Contemporary Nurse,Taylor & Francis,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Contemporary%20Nurse&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
creative-nursing,Creative Nursing,creative nursing,Creative Nursing,SAGE,ESCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Creative%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
critical-care-nurse,Critical Care Nurse,critical care nurse,Critical Care Nurse,American Association of Critical-Care Nurses,SCIE; SSCI,true,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Critical%20Care%20Nurse&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
critical-care-nursing-clinics-of-north-america,Critical Care Nursing Clinics of North America,critical care nursing clinics of north america,Critical Care Nursing Clinics of North America,"Elsevier, W.B. Saunders",SCIE; SSCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=Critical%20Care%20Nursing%20Clinics%20of%20North%20America&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
critical-care-nursing-quarterly,Critical Care Nursing Quarterly,critical care nursing quarterly,Critical Care Nursing Quarterly,Wolters Kluwer,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Critical%20Care%20Nursing%20Quarterly&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
croatian-nursing-journal,Croatian Nursing Journal,croatian nursing journal,Croatian Nursing Journal,University of Applied Health Sciences Zagreb,,false,true,,0,A-C,true,,,,,unresolved,,/sources?search=Croatian%20Nursing%20Journal&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
cultura-de-los-cuidados,Cultura de los Cuidados,cultura de los cuidados,Cultura de los Cuidados,Universidad de Alicante,ESCI,true,true,,0,A-C,true,,,,,unresolved,,/sources?search=Cultura%20de%20los%20Cuidados&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
curationis,Curationis,curationis,Curationis,AOSIS,,false,true,Nivå 1,1,A-C,true,,,,,unresolved,,/sources?search=Curationis&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
dimensions-of-critical-care-nursing,Dimensions of Critical Care Nursing,dimensions of critical care nursing,Dimensions of Critical Care Nursing,"Wolters Kluwer, Lippincott Williams & Wilkins",ESCI,true,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=Dimensions%20of%20Critical%20Care%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
e-journal-of-dokuz-eylul-university-nursing-faculty,E-Journal of Dokuz Eylul University Nursing Faculty,e journal of dokuz eylul university nursing faculty,E-Journal of Dokuz Eylul University Nursing Faculty,Dokuz Eylul University,,false,true,,0,D-G,true,,,,,unresolved,,/sources?search=E-Journal%20of%20Dokuz%20Eylul%20University%20Nursing%20Faculty&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
emergency-care-journal,Emergency Care Journal,emergency care journal,Emergency Care Journal,PAGEPress,ESCI,true,true,,0,D-G,true,,,,,unresolved,,/sources?search=Emergency%20Care%20Journal&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
emergency-nurse,Emergency Nurse,emergency nurse,Emergency Nurse,RCNi / RCN Publishing,,false,true,,0,D-G,true,,,,,unresolved,,/sources?search=Emergency%20Nurse&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
enfermeria-clinica,Enfermería Clínica,enfermeria clinica,Enfermería Clínica,Elsevier España,ESCI,true,true,,0,D-G,true,,,,,unresolved,,/sources?search=Enfermer%C3%ADa%20Cl%C3%ADnica&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
