journal_id,journal_name,publisher,status,confidence,warning,best_candidate,best_candidate_confidence,best_candidate_id,openalex_search_hint
aana-journal,AANA Journal,AANA Publishing,unresolved,0,"OpenAlex search errors: AANA Journal: OpenAlex 429 Too Many Requests: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":39472,""costUsd"":0.001,""dailyRemainingUsd"":0,""prepaidRemainingUsd"":0,""creditsRequired"":10 | Journal of the American Association of Nurse Anesthetists: OpenAlex 429 Too Many Requests: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":39472,""costUsd"":0.001,""dailyRemainingUsd"":0,""prepaidRemainingUsd"":0,""creditsRequired"":10",,,,/sources?search=AANA%20Journal&filter=type:journal&per-page=5
british-journal-of-school-nursing,British Journal of School Nursing,MA Healthcare,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=British%20Journal%20of%20School%20Nursing&filter=type:journal&per-page=5
canadian-journal-of-infection-control,Canadian Journal of Infection Control,Infection Prevention and Control Canada,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Canadian%20Journal%20of%20Infection%20Control&filter=type:journal&per-page=5
canadian-journal-of-nursing-research,Canadian Journal of Nursing Research,SAGE,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Canadian%20Journal%20of%20Nursing%20Research&filter=type:journal&per-page=5
cancer-nursing,Cancer Nursing,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Cancer%20Nursing&filter=type:journal&per-page=5
central-european-journal-of-nursing-and-midwifery,Central European Journal of Nursing and Midwifery,University of Ostrava,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Central%20European%20Journal%20of%20Nursing%20and%20Midwifery&filter=type:journal&per-page=5
child-health-nursing-research,Child Health Nursing Research,Korean Academy of Child Health Nursing,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Child%20Health%20Nursing%20Research&filter=type:journal&per-page=5
chinese-journal-of-nursing,Chinese Journal of Nursing,Chinese Nursing Journals Publishing House,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Chinese%20Journal%20of%20Nursing&filter=type:journal&per-page=5
chinese-journal-of-nursing-education,Chinese Journal of Nursing Education,Chinese Nursing Journals Publishing House,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Chinese%20Journal%20of%20Nursing%20Education&filter=type:journal&per-page=5
chinese-journal-of-practical-nursing,Chinese Journal of Practical Nursing,Chinese Medical Journals Publishing House,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Chinese%20Journal%20of%20Practical%20Nursing&filter=type:journal&per-page=5
ciencia-y-enfermeria,Ciencia y Enfermería,Universidad de Concepción,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Ciencia%20y%20Enfermer%C3%ADa&filter=type:journal&per-page=5
cin-computers-informatics-nursing,"CIN: Computers, Informatics, Nursing","Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=CIN%3A%20Computers%2C%20Informatics%2C%20Nursing&filter=type:journal&per-page=5
clinical-journal-of-oncology-nursing,Clinical Journal of Oncology Nursing,Oncology Nursing Society,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Clinical%20Journal%20of%20Oncology%20Nursing&filter=type:journal&per-page=5
clinical-nurse-specialist,Clinical Nurse Specialist,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Clinical%20Nurse%20Specialist&filter=type:journal&per-page=5
clinical-nursing-research,Clinical Nursing Research,SAGE,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Clinical%20Nursing%20Research&filter=type:journal&per-page=5
clinical-simulation-in-nursing,Clinical Simulation in Nursing,Elsevier,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Clinical%20Simulation%20in%20Nursing&filter=type:journal&per-page=5
cogitare-enfermagem,Cogitare Enfermagem,Universidade Federal do Paraná,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Cogitare%20Enfermagem&filter=type:journal&per-page=5
collegian,Collegian,Elsevier,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Collegian&filter=type:journal&per-page=5
comprehensive-child-and-adolescent-nursing,Comprehensive Child and Adolescent Nursing,Taylor & Francis,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Comprehensive%20Child%20and%20Adolescent%20Nursing&filter=type:journal&per-page=5
contemporary-nurse,Contemporary Nurse,Taylor & Francis,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Contemporary%20Nurse&filter=type:journal&per-page=5
creative-nursing,Creative Nursing,SAGE,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Creative%20Nursing&filter=type:journal&per-page=5
critical-care-nurse,Critical Care Nurse,American Association of Critical-Care Nurses,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Critical%20Care%20Nurse&filter=type:journal&per-page=5
critical-care-nursing-clinics-of-north-america,Critical Care Nursing Clinics of North America,"Elsevier, W.B. Saunders",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Critical%20Care%20Nursing%20Clinics%20of%20North%20America&filter=type:journal&per-page=5
critical-care-nursing-quarterly,Critical Care Nursing Quarterly,Wolters Kluwer,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Critical%20Care%20Nursing%20Quarterly&filter=type:journal&per-page=5
croatian-nursing-journal,Croatian Nursing Journal,University of Applied Health Sciences Zagreb,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Croatian%20Nursing%20Journal&filter=type:journal&per-page=5
cultura-de-los-cuidados,Cultura de los Cuidados,Universidad de Alicante,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Cultura%20de%20los%20Cuidados&filter=type:journal&per-page=5
curationis,Curationis,AOSIS,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Curationis&filter=type:journal&per-page=5
dimensions-of-critical-care-nursing,Dimensions of Critical Care Nursing,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Dimensions%20of%20Critical%20Care%20Nursing&filter=type:journal&per-page=5
e-journal-of-dokuz-eylul-university-nursing-faculty,E-Journal of Dokuz Eylul University Nursing Faculty,Dokuz Eylul University,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=E-Journal%20of%20Dokuz%20Eylul%20University%20Nursing%20Faculty&filter=type:journal&per-page=5
emergency-care-journal,Emergency Care Journal,PAGEPress,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Emergency%20Care%20Journal&filter=type:journal&per-page=5
emergency-nurse,Emergency Nurse,RCNi / RCN Publishing,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Emergency%20Nurse&filter=type:journal&per-page=5
enfermeria-clinica,Enfermería Clínica,Elsevier España,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Enfermer%C3%ADa%20Cl%C3%ADnica&filter=type:journal&per-page=5
enfermeria-global,Enfermería Global,Universidad de Murcia,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Enfermer%C3%ADa%20Global&filter=type:journal&per-page=5
enfermeria-intensiva,Enfermería Intensiva,Elsevier España / Ediciones Doyma,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Enfermer%C3%ADa%20Intensiva&filter=type:journal&per-page=5
enfermeria-nefrologica,Enfermería Nefrológica,Sociedad Española de Enfermería Nefrológica,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Enfermer%C3%ADa%20Nefrol%C3%B3gica&filter=type:journal&per-page=5
european-journal-of-cancer-care,European Journal of Cancer Care,Wiley,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=European%20Journal%20of%20Cancer%20Care&filter=type:journal&per-page=5
european-journal-of-cardiovascular-nursing,European Journal of Cardiovascular Nursing,Oxford University Press,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=European%20Journal%20of%20Cardiovascular%20Nursing&filter=type:journal&per-page=5
european-journal-of-midwifery,European Journal of Midwifery,European Publishing,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=European%20Journal%20of%20Midwifery&filter=type:journal&per-page=5
european-journal-of-oncology-nursing,European Journal of Oncology Nursing,Elsevier / Churchill Livingstone,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=European%20Journal%20of%20Oncology%20Nursing&filter=type:journal&per-page=5
evidence-based-nursing,Evidence-Based Nursing,BMJ Publishing Group,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Evidence-Based%20Nursing&filter=type:journal&per-page=5
florence-nightingale-journal-of-nursing,Florence Nightingale Journal of Nursing,"Istanbul University-Cerrahpaşa, Florence Nightingale Faculty of Nursing",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Florence%20Nightingale%20Journal%20of%20Nursing&filter=type:journal&per-page=5
frontiers-in-dementia,Frontiers in Dementia,Frontiers Media,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Frontiers%20in%20Dementia&filter=type:journal&per-page=5
frontiers-in-emergency-medicine,Frontiers in Emergency Medicine,Tehran University of Medical Sciences,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Frontiers%20in%20Emergency%20Medicine&filter=type:journal&per-page=5
frontiers-of-nursing,Frontiers of Nursing,Sciendo / De Gruyter,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Frontiers%20of%20Nursing&filter=type:journal&per-page=5
gastroenterology-nursing,Gastroenterology Nursing,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Gastroenterology%20Nursing&filter=type:journal&per-page=5
gastrointestinal-nursing,Gastrointestinal Nursing,MA Healthcare,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Gastrointestinal%20Nursing&filter=type:journal&per-page=5
geriatric-nursing,Geriatric Nursing,Elsevier,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Geriatric%20Nursing&filter=type:journal&per-page=5
gerokomos,Gerokomos,Ediciones SPA / Sociedad Española de Enfermería Geriátrica y Gerontológica,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Gerokomos&filter=type:journal&per-page=5
global-qualitative-nursing-research,Global Qualitative Nursing Research,SAGE,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Global%20Qualitative%20Nursing%20Research&filter=type:journal&per-page=5
hayat,HAYAT,Tehran University of Medical Sciences / Iran University of Medical Sciences,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=HAYAT&filter=type:journal&per-page=5
health-and-social-care-delivery-research,Health and Social Care Delivery Research,NIHR Journals Library,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Health%20and%20Social%20Care%20Delivery%20Research&filter=type:journal&per-page=5
health-and-social-care-in-the-community,Health and Social Care in the Community,Wiley,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Health%20and%20Social%20Care%20in%20the%20Community&filter=type:journal&per-page=5
health-care-management-review,Health Care Management Review,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Health%20Care%20Management%20Review&filter=type:journal&per-page=5
health-care-transitions,Health Care Transitions,Elsevier,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Health%20Care%20Transitions&filter=type:journal&per-page=5
healthcare,Healthcare,MDPI,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Healthcare&filter=type:journal&per-page=5
hellenic-journal-of-nursing,Hellenic Journal of Nursing,Hellenic Nurses Association,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Hellenic%20Journal%20of%20Nursing&filter=type:journal&per-page=5
hispanic-health-care-international,Hispanic Health Care International,SAGE,unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Hispanic%20Health%20Care%20International&filter=type:journal&per-page=5
holistic-nursing-practice,Holistic Nursing Practice,"Wolters Kluwer, Lippincott Williams & Wilkins",unresolved,0,OpenAlex resolution skipped: OpenAlex API budget/rate limit was exhausted; skipped remaining source searches.,,,,/sources?search=Holistic%20Nursing%20Practice&filter=type:journal&per-page=5
